scenario,timestamp,value
balanced,1760807992,4.836187774990001
balanced,1760808002,3.963708431062383
balanced,1760808012,3.0909652902780054
balanced,1760808022,2.2364449616349686
balanced,1760808032,1.3635619875279532
balanced,1760808042,0.9636013235882332
balanced,1760808052,0.9636013235882332
balanced,1760808062,0.9637414990726262
balanced,1760808072,0.963671406232954
balanced,1760808082,0.9454201665393986
balanced,1760808092,0.9636363636363636
balanced,1760808102,0.9636188432937584
balanced,1760808112,0.9636889284870084
balanced,1760808122,0.963653884616084
balanced,1760808132,0.9454545454545454
balanced,1760808142,0.9636013235882332
balanced,1760808152,0.9454717358497429
balanced,1760808162,0.9636889284870084
balanced,1760808172,0.9636013235882332
balanced,1760808182,0.9636889284870084
balanced,1760808192,0.9636889284870084
balanced,1760808202,0.9454201665393986
balanced,1760808212,0.9636013235882332
balanced,1760808222,0.9454545454545454
balanced,1760808232,0.9635312511362397
balanced,1760808242,0.9636013235882332
balanced,1760808252,0.9636188432937584
balanced,1760808262,0.9635487682937914
balanced,1760808272,0.9454545454545454
balanced,1760808282,0.9636363636363636
moderate,1760808608,4.818006617941166
moderate,1760808618,3.9636363636363634
moderate,1760808628,3.091021491690607
moderate,1760808638,2.2181414883365758
moderate,1760808648,1.3453811610275805
moderate,1760808658,0.9635662860882844
moderate,1760808668,0.9636363636363636
moderate,1760808678,0.945540503682153
moderate,1760808688,0.9636363636363636
moderate,1760808698,0.9454545454545454
moderate,1760808708,0.9636188432937584
moderate,1760808718,0.9636363636363636
moderate,1760808728,0.9636013235882332
moderate,1760808738,0.9635838045197536
moderate,1760808748,0.9454545454545454
moderate,1760808758,0.9636013235882332
moderate,1760808768,0.9452998600229053
moderate,1760808778,0.9636889284870084
moderate,1760808788,0.9454717358497429
moderate,1760808798,0.963671406232954
moderate,1760808808,0.9635312511362397
moderate,1760808818,0.9454373556844421
moderate,1760808828,0.9636363636363636
moderate,1760808838,0.9453514162091408
moderate,1760808848,0.9636363636363636
moderate,1760808858,0.9454201665393986
moderate,1760808868,0.963653884616084
moderate,1760808878,0.9636889284870084
moderate,1760808888,0.9636363636363636
moderate,1760808898,0.963653884616084
moderate,1760808908,0.9454545454545454
moderate,1760808918,0.963653884616084
moderate,1760808928,0.9454545454545454
moderate,1760808938,0.9636188432937584
moderate,1760808948,0.963653884616084
moderate,1760808958,0.9454373556844421
moderate,1760808968,0.963653884616084
moderate,1760808978,0.9454029780193809
moderate,1760808988,0.9637064513782823
moderate,1760808998,0.9636013235882332
moderate,1760809008,0.963653884616084
moderate,1760809018,0.9636013235882332
moderate,1760809028,0.9454545454545454
moderate,1760809038,0.9636188432937584
moderate,1760809048,0.9454545454545454
moderate,1760809058,0.9636188432937584
moderate,1760809068,0.9636188432937584
moderate,1760809078,0.9635662860882844
moderate,1760809088,0.9635662860882844
moderate,1760809098,0.9454029780193809
moderate,1760809108,0.9636363636363636
moderate,1760809118,0.963653884616084
moderate,1760809128,0.963653884616084
moderate,1760809138,0.9636363636363636
moderate,1760809148,0.9455233107862392
moderate,1760809158,0.9636889284870084
moderate,1760809168,0.963653884616084
moderate,1760809178,0.9636188432937584
moderate,1760809188,0.9636714062329538
moderate,1760809198,0.9636363636363636
short,1760809525,4.8729044692534265
short,1760809535,3.9816010035816234
short,1760809545,3.1089778553507146
short,1760809555,2.2363636363636363
short,1760809565,1.3636611574755906
short,1760809575,0.9636188432937584
short,1760809585,0.9636363636363636
short,1760809595,0.9636363636363636
short,1760809605,0.9453686028542861
short,1760809615,0.9635838045197536
short,1760809625,0.9453857901243545
short,1760809635,0.9635137346155943
aggressive,1760809961,4.836187774990001
aggressive,1760809971,3.9634201770812507
aggressive,1760809981,3.0912463177801217
aggressive,1760809991,2.2180205075994475
aggressive,1760810001,1.327224464564925
aggressive,1760810011,0.9635662860882844
very_aggressive,1760810337,4.654714716898797
very_aggressive,1760810347,3.7818181818181817
very_aggressive,1760810357,2.8910142186988614
