scenario,timestamp,value
balanced,1760807992,0.00749904307142854
balanced,1760808002,0.007539564986238548
balanced,1760808012,0.007376316158823559
balanced,1760808022,0.007190990520325162
balanced,1760808032,0.0071358193999999505
balanced,1760808042,0.006672445754716906
balanced,1760808052,0.006840813641509353
balanced,1760808062,0.006832563641509369
balanced,1760808072,0.007116518867924459
balanced,1760808082,0.007155773999999978
balanced,1760808092,0.0071990809622641695
balanced,1760808102,0.007038624943396309
balanced,1760808112,0.007006993679245328
balanced,1760808122,0.006952653264151036
balanced,1760808132,0.00699262898076927
balanced,1760808142,0.006828901716981198
balanced,1760808152,0.006986702750000043
balanced,1760808162,0.0069621650943396006
balanced,1760808172,0.006970363962264138
balanced,1760808182,0.007113538528301869
balanced,1760808192,0.007243463056603684
balanced,1760808202,0.007123223557692246
balanced,1760808212,0.007162365566037679
balanced,1760808222,0.007203270019230703
balanced,1760808232,0.007097751528301838
balanced,1760808242,0.0070591846792452395
balanced,1760808252,0.00711521532075468
balanced,1760808262,0.007121756226415104
balanced,1760808272,0.007105018423076947
balanced,1760808282,0.007049845150943413
moderate,1760808608,0.007492493762264099
moderate,1760808618,0.0074303857431191845
moderate,1760808628,0.007359759582352865
moderate,1760808638,0.007366647540983619
moderate,1760808648,0.007321813067567616
moderate,1760808658,0.007044591943396295
moderate,1760808668,0.007090889056603785
moderate,1760808678,0.00711508807692319
moderate,1760808688,0.007209124150943458
moderate,1760808698,0.007349979096153843
moderate,1760808708,0.007405857641509434
moderate,1760808718,0.0070834622264151605
moderate,1760808728,0.00701434824528303
moderate,1760808738,0.006992363150943376
moderate,1760808748,0.006891387000000026
moderate,1760808758,0.006880351415094383
moderate,1760808768,0.006949623384615373
moderate,1760808778,0.00682972015094341
moderate,1760808788,0.006799951211538492
moderate,1760808798,0.006899876641509389
moderate,1760808808,0.0068757909056603745
moderate,1760808818,0.007086794057692226
moderate,1760808828,0.007070116358490547
moderate,1760808838,0.0071771394230769016
moderate,1760808848,0.007170777509433983
moderate,1760808858,0.007102859769230811
moderate,1760808868,0.006934736641509485
moderate,1760808878,0.006847294000000049
moderate,1760808888,0.006979797905660408
moderate,1760808898,0.006877234264150913
moderate,1760808908,0.006838714692307713
moderate,1760808918,0.006803470113207471
moderate,1760808928,0.006973014461538426
moderate,1760808938,0.007051617169811288
moderate,1760808948,0.007091986584905587
moderate,1760808958,0.007228983134615337
moderate,1760808968,0.007276085679245243
moderate,1760808978,0.007257987096153875
moderate,1760808988,0.007160241283018941
moderate,1760808998,0.007069393905660476
moderate,1760809008,0.007034422226415174
moderate,1760809018,0.006986348283018923
moderate,1760809028,0.006921442307692461
moderate,1760809038,0.0069745857169812905
moderate,1760809048,0.006932710711538618
moderate,1760809058,0.007047832528301987
moderate,1760809068,0.007068489735849118
moderate,1760809078,0.007136665150943345
moderate,1760809088,0.006986053509433827
moderate,1760809098,0.006968278884615145
moderate,1760809108,0.006883121886792309
moderate,1760809118,0.006774970169811212
moderate,1760809128,0.006689132094339517
moderate,1760809138,0.00674170833962265
moderate,1760809148,0.0068864142692307475
moderate,1760809158,0.0068328105094339455
moderate,1760809168,0.00668763913207531
moderate,1760809178,0.006633769622641346
moderate,1760809188,0.006704232679245189
moderate,1760809198,0.006570161150943422
short,1760809525,0.0048701284291045215
short,1760809535,0.004975004771689544
short,1760809545,0.005232512210526344
short,1760809555,0.005623033560975648
short,1760809565,0.0064019133733333915
short,1760809575,0.007299857000000079
short,1760809585,0.0072688844528302
short,1760809595,0.007155980320754759
short,1760809605,0.007045369365384657
short,1760809615,0.007180040867924556
short,1760809625,0.006917217942307716
short,1760809635,0.006716231150943379
aggressive,1760809961,0.004702020063909816
aggressive,1760809971,0.004849264353211042
aggressive,1760809981,0.005043241905882411
aggressive,1760809991,0.005343009934426257
aggressive,1760810001,0.006307631328767147
aggressive,1760810011,0.007314807415094274
very_aggressive,1760810337,0.004898909660156239
very_aggressive,1760810347,0.005010371793269258
very_aggressive,1760810357,0.005067751044025235
